label	max_9000	sum_9000	tto
ct-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(9).tif	40	831	ct
ct-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(9).tif	43	677	ct
ct-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(14).tif	10	202	ct
ct-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(13).tif	12	210	ct
ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(9).tif	3	247	ct
ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(8).tif	7	242	ct
ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_2(9).tif	4	205	ct
ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif	31	518	ct
ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(9).tif	7	349	ct
ct-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(10).tif	14	406	ct
ct-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(11).tif	2	273	ct
ct-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(11).tif	3	446	ct
ct-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(10).tif	6	423	ct
ct-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif	25	330	ct
ct-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_3(11).tif	9	439	ct
ct-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(12).tif	9	283	ct
ct-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(13).tif	8	306	ct
ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(9).tif	20	361	ct
ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(9).tif	13	652	ct
ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_2(9).tif	15	317	ct
ct-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif	2	91	ct
ct-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(11).tif	2	95	ct
ct-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_2(11).tif	1	50	ct
ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(10).tif	78	674	ct
ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(9).tif	48	582	ct
ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(12).tif	31	435	ct
ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_3(9).tif	36	521	ct
ct-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(13).tif	47	650	ct
ct-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(11).tif	22	484	ct
ct-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(11).tif	60	469	ct
ct-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_2(12).tif	14	418	ct
ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(9).tif	4	94	ct
ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(11).tif	2	78	ct
ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_2(10).tif	2	54	ct
ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_3(10).tif	1	50	ct
ct-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif	52	520	ct
ct-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(13).tif	31	381	ct
ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(10).tif	25	382	ct
ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(10).tif	32	400	ct
ct-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(13).tif	103	869	ct
ct-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(13).tif	90	738	ct
ct-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_0(8).tif	1	37	ct
ct-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_1(9).tif	2	59	ct
ct-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_2(10).tif	1	15	ct
ct-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_0(10).tif	159	969	ct
ct-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_1(10).tif	81	632	ct
